unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1577750400,2019-12-31 00:00:00,EOS/USD,2.615,2.644,2.554,2.571,350694.39,134938.6
1577664000,2019-12-30 00:00:00,EOS/USD,2.683,2.711,2.593,2.615,277170.6,104994.9
1577577600,2019-12-29 00:00:00,EOS/USD,2.626,2.712,2.612,2.683,288272.54,107975.0
1577491200,2019-12-28 00:00:00,EOS/USD,2.567,2.66,2.567,2.626,366728.92,139411.6
1577404800,2019-12-27 00:00:00,EOS/USD,2.513,2.58,2.5,2.567,351245.1,137980.4
1577318400,2019-12-26 00:00:00,EOS/USD,2.48,2.633,2.458,2.513,648312.28,255371.3
1577232000,2019-12-25 00:00:00,EOS/USD,2.537,2.547,2.446,2.48,317895.16,127710.3
1577145600,2019-12-24 00:00:00,EOS/USD,2.516,2.567,2.478,2.537,671003.31,265521.0
1577059200,2019-12-23 00:00:00,EOS/USD,2.537,2.605,2.494,2.516,668581.06,262431.7
1576972800,2019-12-22 00:00:00,EOS/USD,2.445,2.549,2.439,2.537,289508.01,115549.6
1576886400,2019-12-21 00:00:00,EOS/USD,2.486,2.486,2.432,2.445,391336.87,159742.5
1576800000,2019-12-20 00:00:00,EOS/USD,2.448,2.546,2.42,2.486,444034.98,178859.6
